ds,y
"2013/11/18","110"
"2013/11/19","110"
"2013/11/20","86"
"2013/11/21","90"
"2013/11/22","104"
"2013/11/23","67"
"2013/11/24","20"
"2013/11/25","115"
"2013/11/26","98"
"2013/11/27","118"
"2013/11/28","9"
"2013/11/29","66"
"2013/11/30","37"
"2013/12/01","34"
"2013/12/02","104"
"2013/12/03","106"
"2013/12/04","110"
"2013/12/05","73"
"2013/12/06","94"
"2013/12/07","50"
"2013/12/08","14"
"2013/12/09","102"
"2013/12/10","97"
"2013/12/11","114"
"2013/12/12","93"
"2013/12/13","94"
"2013/12/14","69"
"2013/12/15","19"
"2013/12/16","108"
"2013/12/17","114"
"2013/12/18","91"
"2013/12/19","100"
"2013/12/20","79"
"2013/12/21","34"
"2013/12/22","16"
"2013/12/23","52"
"2013/12/24","32"
"2013/12/25","4"
"2013/12/26","19"
"2013/12/27","34"
"2013/12/28","28"
"2013/12/29","6"
"2013/12/30","46"
"2013/12/31","31"
"2014/01/01","34"
"2014/01/02","65"
"2014/01/03","53"
"2014/01/04","50"
"2014/01/05","20"
"2014/01/06","91"
"2014/01/07","92"
"2014/01/08","86"
"2014/01/09","91"
"2014/01/10","71"
"2014/01/11","64"
"2014/01/12","19"
"2014/01/13","99"
"2014/01/14","119"
"2014/01/15","98"
"2014/01/16","99"
"2014/01/17","101"
"2014/01/18","57"
"2014/01/19","24"
"2014/01/20","105"
"2014/01/21","118"
"2014/01/22","95"
"2014/01/23","121"
"2014/01/24","106"
"2014/01/25","91"
"2014/01/26","18"
"2014/01/27","98"
"2014/01/28","120"
"2014/01/29","123"
"2014/01/30","136"
"2014/01/31","121"
"2014/02/01","63"
"2014/02/02","43"
"2014/02/03","101"
"2014/02/04","112"
"2014/02/05","107"
"2014/02/06","109"
"2014/02/07","118"
"2014/02/08","85"
"2014/02/09","26"
"2014/02/10","122"
"2014/02/11","145"
"2014/02/12","123"
"2014/02/13","75"
"2014/02/14","111"
"2014/02/15","52"
"2014/02/16","20"
"2014/02/17","96"
"2014/02/18","104"
"2014/02/19","106"
"2014/02/20","107"
"2014/02/21","120"
"2014/02/22","50"
"2014/02/23","18"
"2014/02/24","109"
"2014/02/25","131"
"2014/02/26","120"
"2014/02/27","109"
"2014/02/28","105"
"2014/03/01","44"
"2014/03/02","18"
"2014/03/03","106"
"2014/03/04","90"
"2014/03/05","129"
"2014/03/06","117"
"2014/03/07","112"
"2014/03/08","73"
"2014/03/09","12"
"2014/03/10","109"
"2014/03/11","109"
"2014/03/12","95"
"2014/03/13","113"
"2014/03/14","98"
"2014/03/15","53"
"2014/03/16","28"
"2014/03/17","101"
"2014/03/18","111"
"2014/03/19","112"
"2014/03/20","126"
"2014/03/21","92"
"2014/03/22","81"
"2014/03/23","19"
"2014/03/24","94"
"2014/03/25","103"
"2014/03/26","116"
"2014/03/27","114"
"2014/03/28","101"
"2014/03/29","54"
"2014/03/30","39"
"2014/03/31","145"
"2014/04/01","118"
"2014/04/02","127"
"2014/04/03","116"
"2014/04/04","97"
"2014/04/05","72"
"2014/04/06","19"
"2014/04/07","124"
"2014/04/08","105"
"2014/04/09","125"
"2014/04/10","128"
"2014/04/11","93"
"2014/04/12","59"
"2014/04/13","19"
"2014/04/14","118"
"2014/04/15","111"
"2014/04/16","141"
"2014/04/17","105"
"2014/04/18","103"
"2014/04/19","70"
"2014/04/20","9"
"2014/04/21","105"
"2014/04/22","114"
"2014/04/23","103"
"2014/04/24","95"
"2014/04/25","94"
"2014/04/26","44"
"2014/04/27","26"
"2014/04/28","99"
"2014/04/29","115"
"2014/04/30","155"
"2014/05/01","110"
"2014/05/02","90"
"2014/05/03","65"
"2014/05/04","27"
"2014/05/05","118"
"2014/05/06","113"
"2014/05/07","136"
"2014/05/08","119"
"2014/05/09","103"
"2014/05/10","37"
"2014/05/11","26"
"2014/05/12","97"
"2014/05/13","106"
"2014/05/14","127"
"2014/05/15","119"
"2014/05/16","101"
"2014/05/17","52"
"2014/05/18","25"
"2014/05/19","170"
"2014/05/20","124"
"2014/05/21","131"
"2014/05/22","100"
"2014/05/23","88"
"2014/05/24","28"
"2014/05/25","11"
"2014/05/26","39"
"2014/05/27","111"
"2014/05/28","130"
"2014/05/29","117"
"2014/05/30","109"
"2014/05/31","46"
"2014/06/01","17"
"2014/06/02","111"
"2014/06/03","124"
"2014/06/04","124"
"2014/06/05","112"
"2014/06/06","93"
"2014/06/07","36"
"2014/06/08","26"
"2014/06/09","120"
"2014/06/10","168"
"2014/06/11","108"
"2014/06/12","134"
"2014/06/13","110"
"2014/06/14","66"
"2014/06/15","19"
"2014/06/16","117"
"2014/06/17","145"
"2014/06/18","138"
"2014/06/19","119"
"2014/06/20","105"
"2014/06/21","47"
"2014/06/22","16"
"2014/06/23","111"
"2014/06/24","113"
"2014/06/25","111"
"2014/06/26","134"
"2014/06/27","114"
"2014/06/28","43"
"2014/06/29","21"
"2014/06/30","99"
"2014/07/01","118"
"2014/07/02","108"
"2014/07/03","104"
"2014/07/04","35"
"2014/07/05","23"
"2014/07/06","7"
"2014/07/07","93"
"2014/07/08","123"
"2014/07/09","112"
"2014/07/10","115"
"2014/07/11","78"
"2014/07/12","27"
"2014/07/13","20"
"2014/07/14","98"
