ds,y
"2016/07/11","98.5"
"2016/07/12","96.5"
"2016/07/13","101"
"2016/07/14","99"
"2016/07/15","80.5"
"2016/07/16","10"
"2016/07/17","11"
"2016/07/18","73.5"
"2016/07/19","112"
"2016/07/20","84"
"2016/07/21","96.5"
"2016/07/22","112"
"2016/07/23","40.5"
"2016/07/24","7"
"2016/07/25","82.5"
"2016/07/26","91"
"2016/07/27","86"
"2016/07/28","87"
"2016/07/29","68"
"2016/07/30","19"
"2016/07/31","7"
"2016/08/01","86.5"
"2016/08/02","93"
"2016/08/03","102"
"2016/08/04","79.5"
"2016/08/05","66.5"
"2016/08/06","21"
"2016/08/07","8"
"2016/08/08","81.5"
"2016/08/09","103.5"
"2016/08/10","80"
"2016/08/11","68.5"
"2016/08/12","72"
"2016/08/13","9"
"2016/08/14","9"
"2016/08/15","50.5"
"2016/08/16","97"
"2016/08/17","78"
"2016/08/18","72"
"2016/08/19","67.5"
"2016/08/20","17"
"2016/08/21","10.5"
"2016/08/22","74.5"
"2016/08/23","86.5"
"2016/08/24","73"
"2016/08/25","82.5"
"2016/08/26","79.5"
"2016/08/27","13"
"2016/08/28","7"
"2016/08/29","71.5"
"2016/08/30","91.5"
"2016/08/31","85.5"
"2016/09/01","76"
"2016/09/02","61"
"2016/09/03","14"
"2016/09/04","3"
"2016/09/05","33"
"2016/09/06","85.5"
"2016/09/07","91"
"2016/09/08","84.5"
"2016/09/09","75"
"2016/09/10","27.5"
"2016/09/11","16"
"2016/09/12","85"
"2016/09/13","96.5"
"2016/09/14","113"
"2016/09/15","112.5"
"2016/09/16","82"
"2016/09/17","35.5"
"2016/09/18","17"
"2016/09/19","82"
"2016/09/20","117"
"2016/09/21","92"
"2016/09/22","89"
"2016/09/23","87"
"2016/09/24","23"
"2016/09/25","16"
"2016/09/26","96"
"2016/09/27","107"
"2016/09/28","104.5"
"2016/09/29","94"
"2016/09/30","115"
"2016/10/01","48"
"2016/10/02","23"
"2016/10/03","59"
"2016/10/04","104.5"
"2016/10/05","105.5"
"2016/10/06","84.5"
"2016/10/07","73"
"2016/10/08","23"
"2016/10/09","15"
"2016/10/10","70.5"
"2016/10/11","98"
"2016/10/12","98.5"
"2016/10/13","92.5"
"2016/10/14","92.5"
"2016/10/15","21"
"2016/10/16","11"
"2016/10/17","79.5"
"2016/10/18","93.5"
"2016/10/19","75.5"
"2016/10/20","93.5"
"2016/10/21","77.5"
"2016/10/22","31"
"2016/10/23","12"
"2016/10/24","86.5"
"2016/10/25","82.5"
"2016/10/26","91"
"2016/10/27","134.5"
"2016/10/28","92"
"2016/10/29","38"
"2016/10/30","15.5"
"2016/10/31","94.5"
"2016/11/01","100.5"
"2016/11/02","97.5"
"2016/11/03","95"
"2016/11/04","81.5"
"2016/11/05","30.66"
"2016/11/06","19.5"
"2016/11/07","94.5"
"2016/11/08","107.5"
"2016/11/09","99"
"2016/11/10","89.5"
"2016/11/11","83"
"2016/11/12","43"
"2016/11/13","9.5"
"2016/11/14","80.5"
"2016/11/15","102"
"2016/11/16","87.5"
"2016/11/17","84.5"
"2016/11/18","74"
"2016/11/19","19"
"2016/11/20","30"
"2016/11/21","89.5"
"2016/11/22","89.5"
"2016/11/23","101"
"2016/11/24","6"
"2016/11/25","21.5"
"2016/11/26","34.5"
"2016/11/27","3.5"
"2016/11/28","94"
"2016/11/29","94.5"
"2016/11/30","85"
"2016/12/01","76"
"2016/12/02","80"
"2016/12/03","27"
"2016/12/04","9"
"2016/12/05","95.5"
"2016/12/06","98.5"
"2016/12/07","79"
"2016/12/08","82"
"2016/12/09","93.5"
"2016/12/10","31.5"
"2016/12/11","14.5"
"2016/12/12","62"
"2016/12/13","109"
"2016/12/14","79.5"
"2016/12/15","88"
"2016/12/16","71.5"
"2016/12/17","20"
"2016/12/18","30.5"
"2016/12/19","85"
"2016/12/20","77.5"
"2016/12/21","78"
"2016/12/22","55"
"2016/12/23","44"
"2016/12/24","5.5"
"2016/12/25","1"
"2016/12/26","13"
"2016/12/27","32"
"2016/12/28","27.5"
"2016/12/29","34"
"2016/12/30","28"
"2016/12/31","9"
"2017/01/01","4"
"2017/01/02","30.5"
"2017/01/03","55"
"2017/01/04","68.5"
"2017/01/05","62.5"
"2017/01/06","70"
"2017/01/07","27"
"2017/01/08","12"
"2017/01/09","76.5"
"2017/01/10","95.5"
"2017/01/11","61.5"
"2017/01/12","75"
"2017/01/13","82.5"
"2017/01/14","14.5"
"2017/01/15","10"
"2017/01/16","62.5"
"2017/01/17","80"
"2017/01/18","73"
"2017/01/19","75"
"2017/01/20","79"
"2017/01/21","31.5"
"2017/01/22","7"
"2017/01/23","69.5"
"2017/01/24","77.5"
"2017/01/25","73"
"2017/01/26","79"
"2017/01/27","73.5"
"2017/01/28","19"
"2017/01/29","12.5"
"2017/01/30","69"
"2017/01/31","94.5"
"2017/02/01","82.5"
"2017/02/02","60"
"2017/02/03","79"
"2017/02/04","34.5"
"2017/02/05","15"
"2017/02/06","67.5"
"2017/02/07","72"
"2017/02/08","87.5"
"2017/02/09","43.5"
"2017/02/10","70"
"2017/02/11","12.5"
"2017/02/12","41"
"2017/02/13","72"
"2017/02/14","98.5"
"2017/02/15","81.5"
"2017/02/16","80.5"
"2017/02/17","76"
"2017/02/18","18"
"2017/02/19","7.5"
"2017/02/20","53.5"
"2017/02/21","75"
"2017/02/22","77"
"2017/02/23","75.5"
"2017/02/24","81.5"
"2017/02/25","23.5"
"2017/02/26","22"
"2017/02/27","69.5"
"2017/02/28","170"
"2017/03/01","64"
"2017/03/02","83"
"2017/03/03","72"
"2017/03/04","30"
"2017/03/05","21.5"
"2017/03/06","75"
"2017/03/07","92.5"
"2017/03/08","70"
"2017/03/09","91"
"2017/03/10","57"
"2017/03/11","12"
"2017/03/12","21.5"
"2017/03/13","87"
"2017/03/14","38.5"
"2017/03/15","85.5"
"2017/03/16","73"
